Timestamp,Topic,Message
2024-07-10 23:02:36,Motion,Not Detected
2024-07-10 23:02:39,Motion,Not Detected
2024-07-10 23:02:42,Motion,Not Detected
2024-07-10 23:02:45,Motion,Not Detected
2024-07-10 23:02:48,Motion,Not Detected
2024-07-10 23:02:57,Motion,Not Detected
2024-07-10 23:03:00,Motion,Not Detected
2024-07-10 23:03:03,Motion,Not Detected
2024-07-10 23:03:12,Motion,Detected
2024-07-10 23:03:21,Motion,Not Detected
2024-07-10 23:03:24,Motion,Detected
2024-07-10 23:03:30,Motion,Not Detected
2024-07-10 23:03:33,Motion,Not Detected
2024-07-10 23:03:36,Motion,Not Detected
2024-07-10 23:03:39,Motion,Not Detected
2024-07-10 23:03:42,Motion,Not Detected
2024-07-10 23:25:02,Motion,Not Detected
2024-07-10 23:25:05,Motion,Not Detected
2024-07-10 23:25:11,Motion,Detected
2024-07-10 23:25:14,Motion,Not Detected
2024-07-10 23:25:20,Motion,Not Detected
2024-07-10 23:25:23,Motion,Not Detected
2024-07-10 23:25:26,Motion,Not Detected
2024-07-10 23:25:29,Motion,Not Detected
2024-07-10 23:25:35,Motion,Not Detected
2024-07-10 23:25:38,Motion,Not Detected
2024-07-10 23:25:41,Motion,Not Detected
2024-07-10 23:25:44,Motion,Not Detected
2024-07-10 23:25:47,Motion,Not Detected
2024-07-10 23:25:56,Motion,Not Detected
2024-07-10 23:25:59,Motion,Detected
2024-07-10 23:26:05,Motion,Not Detected
2024-07-10 23:26:11,Motion,Detected
2024-07-10 23:26:14,Motion,Not Detected
2024-07-10 23:26:17,Motion,Not Detected
2024-07-10 23:26:23,Motion,Not Detected
2024-07-10 23:26:26,Motion,Not Detected
2024-07-10 23:26:29,Motion,Not Detected
2024-07-10 23:26:38,Motion,Detected
2024-07-10 23:26:47,Motion,Detected
2024-07-10 23:26:50,Motion,Not Detected
2024-07-10 23:26:56,Motion,Not Detected
2024-07-10 23:27:02,Motion,Detected
2024-07-10 23:27:08,Motion,Not Detected
2024-07-10 23:27:11,Motion,Not Detected
2024-07-10 23:27:14,Motion,Not Detected
2024-07-10 23:27:23,Motion,Not Detected
2024-07-10 23:27:26,Motion,Detected
2024-07-10 23:27:32,Motion,Not Detected
2024-07-10 23:27:38,Motion,Detected
2024-07-10 23:27:44,Motion,Not Detected
2024-07-10 23:27:50,Motion,Detected
2024-07-10 23:27:59,Motion,Detected
2024-07-10 23:28:08,Motion,Not Detected
2024-07-10 23:28:11,Motion,Not Detected
2024-07-10 23:28:14,Motion,Not Detected
2024-07-10 23:28:17,Motion,Not Detected
2024-07-10 23:28:23,Motion,Not Detected
2024-07-10 23:28:26,Motion,Not Detected
2024-07-10 23:28:32,Motion,Not Detected
2024-07-10 23:28:35,Motion,Detected
2024-07-10 23:28:41,Motion,Not Detected
2024-07-10 23:28:44,Motion,Not Detected
2024-07-10 23:28:50,Motion,Detected
2024-07-10 23:28:59,Motion,Not Detected
2024-07-10 23:29:02,Motion,Detected
2024-07-10 23:29:08,Motion,Not Detected
2024-07-10 23:29:14,Motion,Detected
2024-07-10 23:29:23,Motion,Detected
2024-07-10 23:29:32,Motion,Detected
2024-07-10 23:29:35,Motion,Not Detected
2024-07-10 23:29:38,Motion,Not Detected
2024-07-10 23:29:41,Motion,Not Detected
2024-07-10 23:29:50,Motion,Detected
2024-07-10 23:29:53,Motion,Not Detected
2024-07-10 23:29:56,Motion,Not Detected
2024-07-10 23:30:05,Motion,Detected
2024-07-10 23:30:08,Motion,Not Detected
2024-07-10 23:30:17,Motion,Detected
2024-07-10 23:30:26,Motion,Detected
2024-07-10 23:30:29,Motion,Not Detected
2024-07-10 23:30:35,Motion,Not Detected
2024-07-10 23:30:41,Motion,Detected
2024-07-10 23:30:44,Motion,Not Detected
